	NC	TA	AP1	AR	ARNT1	B-catenin	Brachyury	cMyc	CRE	E2F1	ER	ETS1	FOXA	FOXOA3	GATA1	GATA2	GATA3	GATA6	GLI	GR	HIF1	HNF1A	HOXa1	HSTF	IRF	ISRE	KLF4	LHX8	MEF1	Mnx1	Myb1	Nanog	NeuroD	NFAT	NFkB	Nobox	Notch	p53	P53/73	PAX1	PEA3	POUF1	PR	PTTG	RAR	RXR	SMAD	SMAD3/4	Sox	SP1	SRE	SRF	STAT1	STAT3	STAT4	STAT5	WT1	YY1	repeats	time	treatment	Cell_Type	experiment
44	0	0.993229447	0.345783133	3.603614458	2.648192771	0.159036145	0.114457831	1.127710843	1.025301205	3.304819277	1.137349398	0.939759036	0.526506024	0.078313253	0.231325301	1.409638554	2.312048193	0.531325301	0.560240964	2.771084337	0.195180723	0.881927711	2.506024096	2.379518072	2.422891566	0.868674699	1.25060241	2.993975904	2.168674699	3.528915663	1.080722892	3.884337349	0.634939759	0.377108434	0.114457831	0.2	1.419277108	0.090361446	0.530120482	0.601204819	0.64939759	0.838554217	1.081927711	2.03253012	0.989156627	1.796385542	1.671084337	0.346987952	1.120481928	0.427710843	0.24939759	0.486746988	1.024096386	2.010843373	0.189156627	3.104819277	0.753012048	1.81686747	2	2	2	2	1
45	3.282415724	0.991317266	0.460240964	3.287951807	2.791566265	0.13253012	0.120481928	1.659036145	0.803614458	2.874698795	1.373493976	1.362650602	0.468674699	0.114457831	0.198795181	1.609638554	2.427710843	0.262650602	0.678313253	1.255421687	0.154216867	0.798795181	2.771084337	2.687951807	2.802409639	1.296385542	1.793975904	3.34939759	2.239759036	3.163855422	1.403614458	2.824096386	0.544578313	0.377108434	0.151807229	0.355421687	1.380722892	0.161445783	0.4	0.409638554	0.651807229	1.121686747	1.269879518	2.531325301	1.142168675	2.24939759	2.160240964	0.469879518	1.596385542	0.380722892	0.303614458	0.536144578	1.261445783	2.768674699	0.173493976	2.740963855	1.015662651	1.960240964	3	2	2	2	1
106	3.51675286	0.966763882	0.249460043	1.897408207	3.835853132	0.140388769	0.111231102	0.789416847	0.717062635	0.430885529	1.217062635	0.536717063	0.439524838	0.072354212	0.150107991	1.505399568	1.929805616	0.276457883	0.271058315	1.345572354	0.234341253	0.589632829	2.551835853	2.23650108	2.186825054	0.969762419	0.799136069	2.187904968	2.126349892	1.638228942	1.058315335	1.036717063	0.525917927	0.381209503	0.152267819	0.174946004	0.27537797	0.174946004	0.627429806	0.387688985	0.425485961	0.618790497	1.072354212	1.458963283	1.010799136	1.927645788	1.605831533	0.247300216	1.692224622	0.228941685	0.200863931	0.508639309	1.493520518	0.863930886	0.139308855	2.921166307	0.261339093	2.047516199	1	3	1	1	1
107	0	0.979821255	0.277537797	2.541036717	3.124190065	0.105831533	0.137149028	0.866090713	0.610151188	0.588552916	0.815334773	0.571274298	0.548596112	0.091792657	0.195464363	1.262419006	1.453563715	0.360691145	0.384449244	0.838012959	0.124190065	0.508639309	2.009719222	1.537796976	1.588552916	0.781857451	0.777537797	1.634989201	1.308855292	1.221382289	1.036717063	1.136069114	0.673866091	0.584233261	0.097192225	0.141468683	0.309935205	0.122030238	0.544276458	0.334773218	0.398488121	0.882289417	1.025917927	1.141468683	0.843412527	1.530237581	1.313174946	0.228941685	1.069114471	0.285097192	0.250539957	0.264578834	1.225701944	0.912526998	0.082073434	3.118790497	0.201943844	1.165226782	2	3	1	1	1
108	0	0.974111297	0.210583153	1.858531317	3.98812095	0.109071274	0.080993521	1.125269978	0.605831533	0.335853132	0.767818575	0.821814255	0.444924406	0.128509719	0.134989201	1.122030238	1.668466523	0.126349892	0.105831533	0.863930886	0.142548596	0.371490281	1.571274298	1.436285097	1.812095032	0.719222462	0.677105832	1.75161987	1.495680346	1.032397408	0.839092873	0.960043197	0.420086393	0.29049676	0.120950324	0.204103672	0.309935205	0.106911447	0.481641469	0.377969762	0.394168467	0.636069114	1.294816415	1.071274298	0.971922246	1.448164147	1.120950324	0.146868251	1.082073434	0.233261339	0.226781857	0.247300216	1.201943844	1.157667387	0.168466523	2.313174946	0.230021598	1.05399568	3	3	1	1	1
85	0	0.980356699	0.483050847	3.845338983	4.07309322	0.082627119	0.111228814	1.199152542	0.973516949	2.701271186	1.223516949	1.021186441	0.604872881	0.109110169	0.231991525	1.518008475	1.954449153	0.121822034	0.978813559	2.907838983	0.310381356	1.028601695	2.604872881	2.672669492	2.768008475	1.212923729	1.563559322	2.847457627	1.804025424	2.945974576	1.859110169	3.121822034	0.497881356	0.465042373	0.190677966	0.289194915	1.316737288	0.186440678	0.672669492	0.405720339	0.663135593	0.88029661	0.988347458	1.890889831	0.745762712	1.813559322	1.620762712	0.243644068	1.579449153	0.457627119	0.294491525	0.665254237	1.761652542	1.590042373	0.110169492	2.061440678	0.420550847	1.461864407	1	3	2	2	1
86	4.104902651	0.964284425	0.378177966	3.791313559	3.556144068	0.088983051	0.11970339	1.354872881	0.965042373	3.591101695	1.362288136	1.197033898	0.575211864	0.081567797	0.275423729	1.44809322	2.007415254	0.486228814	0.552966102	1.476694915	0.227754237	0.772245763	2.911016949	2.883474576	3.19809322	1.145127119	1.531779661	3.315677966	2.887711864	3.511652542	1.643008475	2.952330508	0.610169492	0.594279661	0.118644068	0.139830508	1.202330508	0.077330508	0.612288136	0.516949153	0.629237288	0.938559322	1.190677966	2.477754237	1.191737288	1.958686441	1.983050847	0.325211864	1.68220339	0.378177966	0.224576271	0.481991525	1.146186441	1.891949153	0.139830508	2.6875	0.50529661	2.23940678	2	3	2	2	1
87	0	0.998073007	0.44809322	3.328389831	3.353813559	0.109110169	0.082627119	1.670550847	0.811440678	2.552966102	1.188559322	1.502118644	0.532838983	0.058262712	0.195974576	1.416313559	2.367584746	0.311440678	0.564618644	1.237288136	0.143008475	0.763771186	2.774364407	2.092161017	2.492584746	1.400423729	1.730932203	2.522245763	2.11440678	2.722457627	1.251059322	2.294491525	0.455508475	0.362288136	0.149364407	0.164194915	1.048728814	0.13559322	0.478813559	0.50529661	0.581567797	0.94279661	1.027542373	2.096398305	0.951271186	2.007415254	1.726694915	0.372881356	1.263771186	0.391949153	0.241525424	0.465042373	1.789194915	2.387711864	0.164194915	2.243644068	0.519067797	1.659957627	3	3	2	2	1
148	0	0.961225223	0.302643573	1.922515953	4.794895169	0.11030082	0.1349134	0.777575205	0.592525068	0.57976299	1.07657247	0.567912489	0.407474932	0.131267092	0.136736554	0.791248861	0.998176846	0.16864175	0.256153145	0.981768459	0.158614403	0.402005469	2.090246126	1.798541477	1.550592525	0.685505925	0.695533273	1.805834093	1.55515041	1.363719234	1.098450319	0.918869644	0.480401094	0.498632634	0.164995442	0.121239745	0.271649954	0.100273473	0.311759344	0.300820419	0.566089335	0.834092981	0.881494986	1.056517776	0.818596171	1.666362808	1.375569736	0.216955333	0.60437557	0.22698268	0.100273473	0.287146764	0.687329079	0.910665451	0.093892434	1.834092981	0.23609845	1.072014585	1	4	1	1	1
149	3.63512288	0.975597771	0.173199635	1.67183227	3.900638104	0.082041933	0.113947129	0.863263446	0.601640839	0.474020055	1.007292616	0.628076572	0.515952598	0.093892434	0.093892434	0.563354603	1.08295351	0.142206016	0.263445761	0.677301732	0.126709207	0.389243391	1.775752051	1.256153145	1.247948952	0.938012762	0.707383774	1.350045579	1.196900638	0.911577028	0.804922516	0.827711942	0.524156791	0.474020055	0.122151322	0.103008204	0.243391067	0.084776664	0.378304467	0.390154968	0.462169553	0.87420237	0.813126709	1.026435734	0.834092981	1.099361896	0.987237922	0.152233364	0.881494986	0.247037375	0.151321787	0.210574294	0.784867821	0.919781222	0.0674567	2.508659982	0.154968095	0.6627165	2	4	1	1	1
