FromTF	Interaction	ToTF
AR	1	NFAT
AR	-1	SMAD
AR	1	SRE
Brachyury	1	GATA1
ER	-1	SRF
GATA2	1	B-catenin
GATA2	1	MEF1
GATA2	1	Nobox
GATA3	1	IRF
GATA3	1	NFAT
GATA6	1	NeuroD
GATA6	1	SRF
GR	1	HIF1
GR	1	HSTF
GR	1	LHX8
HIF1	1	ER
HIF1	1	HNF1A
HIF1	1	MEF1
HNF1A	1	AR
HNF1A	1	PTTG
HNF1A	1	SRF
HNF1A	1	STAT5
HNF1A	1	YY1
HOXa1	-1	Notch
HSTF	1	E2F1
HSTF	1	Myb1
HSTF	1	RXR
IRF	1	GATA1
KLF4	1	GATA3
LHX8	1	SMAD3/4
MEF1	1	IRF
MEF1	1	NeuroD
MEF1	1	SRE
MEF1	1	SRF
Mnx1	-1	Nobox
Mnx1	1	SMAD3/4
Mnx1	1	WT1
Myb1	1	PAX1
NFAT	1	E2F1
Nobox	1	ARNT1
Nobox	1	Notch
Notch	1	AP1
Notch	1	HIF1
Notch	-1	MEF2C
Notch	1	HNF1A
OLAPARIB	-1	Notch
OLAPARIB	-1	ARNT1
OLAPARIB	-1	ISRE
OLAPARIB	1	KLF4
OLAPARIB	-1	Nobox
OLAPARIB	1	P53/73
OLAPARIB	-1	PEA3
OLAPARIB	1	PR
OLAPARIB	1	RAR
OLAPARIB	-1	SMAD
OLAPARIB	-1	WT1
P53/73	1	GATA3
P53/73	1	STAT1
POUF1	1	E2F1
POUF1	1	PAX1
POUF1	1	SP1
PR	1	IRF
PR	1	STAT4
PTTG	1	ISRE
RAR	1	GR
RXR	1	LHX8
SRE	-1	B-catenin
SRF	1	p53
STAT1	1	GATA6
STAT3	-1	SRE
STAT4	1	Nobox
STAT5	1	Nanog
WT1	-1	p53
YY1	-1	Notch
