	NC	TA	AP1	AR	ARNT1	B-catenin	Brachyury	cMyc	CRE	E2F1	ER	ETS1	FOXA	FOXOA3	GATA1	GATA2	GATA3	GATA6	GLI	GR	HIF1	HNF1A	HOXa1	HSTF	IRF	ISRE	KLF4	LHX8	MEF1	Mnx1	Myb1	Nanog	NeuroD	NFAT	NFkB	Nobox	Notch	p53	P53/73	PAX1	PEA3	POUF1	PR	PTTG	RAR	RXR	SMAD	SMAD3/4	Sox	SP1	SRE	SRF	STAT1	STAT3	STAT4	STAT5	WT1	YY1	repeats	time	treatment	Cell_Type	experiment
22	3.465366746	1	0.453071672	2.473549488	4.235494881	0.074232082	0.134812287	1.104095563	0.66552901	1.432593857	1.072525597	0.534129693	0.578498294	0.08447099	0.255119454	1.766211604	2.748293515	0.403583618	0.432593857	2.111774744	0.363481229	0.953071672	2.985494881	2.82337884	2.730375427	1.440273038	1.244880546	2.928327645	2.161262799	2.695392491	1.483788396	1.581911263	0.483788396	0.534982935	0.211604096	0.720136519	0.671501706	0.230375427	0.653583618	0.433447099	0.656996587	0.89334471	1.517064846	2.119453925	1.689419795	2.794368601	2.294368601	0.346416382	1.611774744	0.379692833	0.32337884	0.630546075	1.645904437	1.45221843	0.232935154	4.866894198	0.625426621	2.737201365	1	1	1	1	1
23	0	1	0.198805461	2.589590444	4.468430034	0.088737201	0.076791809	1.066552901	0.885665529	1.156996587	1.602389078	0.578498294	0.633959044	0.108361775	0.221843003	1.453924915	2.347269625	0.332764505	0.636518771	1.45221843	0.215870307	0.784129693	2.729522184	2.726109215	2.406996587	1.152730375	1.097269625	3.246587031	1.997440273	2.020477816	1.362627986	1.679180887	0.425767918	0.432593857	0.157849829	0.567406143	0.437713311	0.167235495	0.668088737	0.484641638	0.590443686	1.328498294	1.544368601	1.837883959	1.383105802	2.389931741	1.993174061	0.411262799	1.666382253	0.479522184	0.347269625	0.427474403	1.330204778	1.762798635	0.162116041	4.267918089	0.553754266	2.123720137	2	1	1	1	1
24	0	1	0.438566553	2.472696246	4.061433447	0.110921502	0.074232082	0.735494881	0.78668942	1.889078498	1.040955631	0.903583618	0.596416382	0	0.187713311	1.715017065	2.094709898	0.17662116	0.234641638	1.509385666	0.274744027	0.675767918	2.613481229	2.709044369	2.510238908	1.203071672	0.955631399	2.707337884	2.237201365	2	1.609215017	1.67662116	0.33105802	0.342150171	0.23890785	0.862627986	0.559726962	0.204778157	0.641638225	0.673208191	0.77559727	1.082764505	1.857508532	1.667235495	1.781569966	2.517918089	1.943686007	0.279010239	1.244027304	0.412969283	0.377986348	0.39334471	1.330204778	2.209897611	0.332764505	4.067406143	0.618600683	1.825938567	3	1	1	1	1
232	3.425790842	1	0.413647852	2.670598147	3.937657961	0.074978939	0.129738837	1.046335299	0.721145746	1.351305813	1.131423757	0.51642797	0.588037068	0.090143218	0.239258635	1.664700927	2.549283909	0.420387532	0.427969671	1.99831508	0.332771693	0.877843302	3.00589722	3.096882898	2.817186184	1.327716933	1.144903117	2.99241786	2.796967144	2.539174389	1.405223252	1.50463353	0.49620893	0.49620893	0.208930076	0.654591407	0.447346251	0.218197136	0.672283067	0.464195451	0.625105307	0.925863521	1.50884583	2.112889638	1.545071609	2.571187869	2.434709351	0.344566133	3.577085088	0.358887953	0.326874473	0.615838248	1.50126369	1.368997473	0.228306655	5.026116259	0.624262848	2.889637742	1	1	1	1	2
233	0	0.941812315	0.216512216	2.650379107	3.637742207	0.092670598	0.083403538	1.063184499	0.860151643	1.097725358	1.51137321	0.407750632	0.662173547	0.117944398	0.213984836	1.444818871	2.163437237	0.358887953	0.652064027	1.410278012	0.208087616	0.802021904	2.47851727	2.906486942	2.556023589	1.243470935	1.057287279	3.103622578	2.178601516	2.176916596	1.455770851	1.783487784	0.429654591	0.430497051	0.168491997	0.607413648	0.424599832	0.181971356	0.607413648	0.48441449	0.626790227	1.249368155	1.572030329	1.98483572	1.50631845	2.49199663	1.929233361	0.406065712	1.721988206	0.48357203	0.379106992	0.438921651	1.336983993	1.625105307	0.149115417	5.203875316	0.557708509	2.045492839	2	1	1	1	2
234	0	1.006608509	0.426284751	2.52232519	3.700926706	0.110362258	0.073294019	0.791069924	0.839932603	1.974726201	1.037068239	0.820556024	0.621735468	0.117101938	0.185341196	1.710193766	2.043807919	0.189553496	0.222409436	1.50716091	0.259477675	0.700926706	2.51895535	2.857624263	2.737994945	1.187026116	0.98904802	2.909856782	2.313395114	1.971356361	1.50463353	1.532434709	0.331086773	0.336983993	0.251053075	0.839090143	0.557708509	0.209772536	0.600673968	0.630160067	0.705139006	1.00336984	1.850042123	1.779275484	1.732097725	2.47851727	1.828138163	0.281381634	1.202190396	0.388374052	0.413647852	0.429654591	1.406908172	2.102780118	0.324347094	4.142375737	0.626790227	1.797809604	3	1	1	1	2
64	0	0.959417221	0.328881469	2.497495826	3.81803005	0.176961603	0.165275459	1.096828047	0.662771285	1.190317195	1.115191987	0.682804674	0.602671119	0.148580968	0.312186978	1.706176962	2.50918197	0.429048414	0.420701169	2.110183639	0.348914858	0.886477462	3.071786311	3.09015025	3.170283806	1.297161937	1.011686144	3.146911519	2.76293823	2.570951586	1.577629382	1.621035058	0.585976628	0.3639399	0.190317195	0.235392321	0.287145242	0.195325543	0.65442404	0.575959933	0.789649416	1.091819699	1.41736227	2.337228715	1.212020033	2.514190317	2.430717863	0.335559265	2.560934891	0.320534224	0.288814691	0.626043406	1.392320534	1.482470785	0.238731219	4.742904841	0.577629382	3.188647746	1	2	1	1	1
65	3.366524529	0.995187727	0.432387312	2.602671119	3.085141903	0.151919866	0.196994992	0.938230384	0.853088481	0.904841402	1.414023372	0.584307179	0.651085142	0	0.202003339	1.627712855	2.734557596	0.195325543	0.535893155	1.313856427	0.180300501	0.65442404	2.166944908	2.41903172	2.198664441	0.966611018	1.10851419	2.265442404	1.702838063	1.497495826	1.105175292	1.500834725	0.712854758	0.333889816	0	0.240400668	0.409015025	0	0.492487479	0.477462437	0.684474124	1.353923205	1.342237062	1.54590985	1.238731219	2.066777963	1.350584307	0.295492487	1.813021703	0.405676127	0.270450751	0.335559265	0.991652755	1.298831386	0	4.318864775	0.373956594	1.572621035	2	2	1	1	1
66	4.132050423	0.980480162	0.320534224	2.641068447	3.116861436	0.155258765	0	0.786310518	0.821368948	1.041736227	1.056761269	1.111853088	0.592654424	0	0.267111853	1.47245409	1.742904841	0.196994992	0.191986644	1.602671119	0.212020033	0.550918197	2.260434057	2.355592654	2.464106845	0.986644407	0.819699499	2.664440735	1.851419032	2.025041736	1.626043406	1.373956594	0.487479132	0.3639399	0.203672788	0.325542571	0.424040067	0.195325543	0.540901503	0.767946578	0.752921536	1.056761269	1.594323873	1.692821369	1.442404007	2.105175292	1.375626043	0.292153589	1.375626043	0.343906511	0.317195326	0.402337229	1.295492487	1.657762938	0.285475793	3.609348915	0.512520868	1.89148581	3	2	1	1	1
274	0	0.994810091	0.312796209	2.503949447	3.469194313	0.178515008	0.172195893	1.012638231	0.647709321	1.105845182	1.060031596	0.663507109	0.551342812	0.142180095	0.287519747	1.630331754	2.274881517	0.372827804	0.398104265	1.854660348	0.309636651	0.815165877	2.977883096	2.873617694	2.616113744	1.232227488	0.933649289	2.777251185	2.595576619	2.357030016	1.595576619	1.410742496	0.533965245	0.380726698	0.18957346	0.240126382	0.295418641	0.20221169	0.624012638	0.579778831	0.761453397	1.116903633	1.399684044	2.069510269	1.259083728	2.545023697	2.28436019	0.319115324	4.058451817	0.336492891	0.29699842	0.571879937	1.393364929	1.312796209	0.214849921	4.665086888	0.52764613	2.830963665	1	2	1	1	2
